[arch] mlp hidden [512, 512, 256, 256], 1.018M parameters
exp011 outcomes6 [cpu]: 86 shards x 8 epochs, lr=0.001 holdout_frac=0.0 split_seed=14
  ep1 shard 1/688 loss=0.879018  best=-inf wall=0.002h
  ep1 shard 2/688 loss=0.837881  best=-inf wall=0.007h
  ep1 shard 3/688 loss=0.865219  best=-inf wall=0.013h
  ep1 shard 4/688 loss=0.861779  best=-inf wall=0.016h
  ep1 shard 5/688 loss=0.86181  best=-inf wall=0.02h
  ep1 shard 6/688 loss=0.873757  best=-inf wall=0.021h
  ep1 shard 7/688 loss=0.846674  best=-inf wall=0.027h
  ep1 shard 8/688 loss=0.828884  best=-inf wall=0.032h
  ep1 shard 9/688 loss=0.867008  best=-inf wall=0.042h
  ep1 shard 10/688 loss=0.865121  best=-inf wall=0.055h
  ep1 shard 11/688 loss=0.806729  best=-inf wall=0.059h
  ep1 shard 12/688 loss=0.846628  best=-inf wall=0.064h
  ep1 shard 13/688 loss=0.866895  best=-inf wall=0.07h
  ep1 shard 14/688 loss=0.8636  best=-inf wall=0.075h
  ep1 shard 15/688 loss=0.865914  best=-inf wall=0.081h
  ep1 shard 16/688 loss=0.869258  best=-inf wall=0.085h
  ep1 shard 17/688 loss=0.872567  best=-inf wall=0.09h
  ep1 shard 18/688 loss=0.899721  best=-inf wall=0.096h
  ep1 shard 19/688 loss=0.884148  best=-inf wall=0.101h
  ep1 shard 20/688 loss=0.836202  best=-inf wall=0.106h
  ep1 shard 21/688 loss=0.893952  best=-inf wall=0.112h
  ep1 shard 22/688 loss=0.864312  best=-inf wall=0.116h
  ep1 shard 23/688 loss=0.874433  best=-inf wall=0.121h
  ep1 shard 24/688 loss=0.871496  best=-inf wall=0.127h
  ep1 shard 25/688 loss=0.841825  best=-inf wall=0.132h
  ep1 shard 26/688 loss=0.890824  best=-inf wall=0.136h
  ep1 shard 27/688 loss=0.874401  best=-inf wall=0.142h
  ep1 shard 28/688 loss=0.873096  best=-inf wall=0.145h
  ep1 shard 29/688 loss=0.826273  best=-inf wall=0.15h
  ep1 shard 30/688 loss=0.827177  best=-inf wall=0.154h
  ep1 shard 31/688 loss=0.859598  best=-inf wall=0.159h
  ep1 shard 32/688 loss=0.846813  best=-inf wall=0.164h
  ep1 shard 33/688 loss=0.845658  best=-inf wall=0.167h
  ep1 shard 34/688 loss=0.846299  best=-inf wall=0.172h
  ep1 shard 35/688 loss=0.84786  best=-inf wall=0.177h
  ep1 shard 36/688 loss=0.87099  best=-inf wall=0.182h
  ep1 shard 37/688 loss=0.85796  best=-inf wall=0.187h
  ep1 shard 38/688 loss=0.874387  best=-inf wall=0.193h
