[arch] mlp hidden [512, 512, 256, 256] in=201, 0.911M params (0.563M deployable)
exp011 scalar [cpu]: 86 shards x 20 epochs, lr=0.001 holdout_frac=0.0 split_seed=14
  ep1 shard 1/1720 loss=0.002693  best=-inf wall=0.001h
  ep1 shard 2/1720 loss=0.001373  best=-inf wall=0.006h
  ep1 shard 3/1720 loss=0.000921  best=-inf wall=0.011h
  ep1 shard 4/1720 loss=0.000813  best=-inf wall=0.014h
  ep1 shard 5/1720 loss=0.000471  best=-inf wall=0.017h
  ep1 shard 6/1720 loss=0.000525  best=-inf wall=0.018h
  ep1 shard 7/1720 loss=0.00039  best=-inf wall=0.023h
  ep1 shard 8/1720 loss=0.000657  best=-inf wall=0.029h
  ep1 shard 9/1720 loss=0.000591  best=-inf wall=0.034h
  ep1 shard 10/1720 loss=0.000521  best=-inf wall=0.039h
  ep1 shard 11/1720 loss=0.000518  best=-inf wall=0.041h
  ep1 shard 12/1720 loss=0.000524  best=-inf wall=0.046h
  ep1 shard 13/1720 loss=0.000508  best=-inf wall=0.051h
  ep1 shard 14/1720 loss=0.000209  best=-inf wall=0.056h
  ep1 shard 15/1720 loss=0.000281  best=-inf wall=0.061h
  ep1 shard 16/1720 loss=0.000269  best=-inf wall=0.066h
  ep1 shard 17/1720 loss=0.000255  best=-inf wall=0.071h
  ep1 shard 18/1720 loss=0.000268  best=-inf wall=0.076h
  ep1 shard 19/1720 loss=0.000246  best=-inf wall=0.08h
  ep1 shard 20/1720 loss=0.000261  best=-inf wall=0.085h
  ep1 shard 21/1720 loss=0.000309  best=-inf wall=0.09h
  ep1 shard 22/1720 loss=0.00023  best=-inf wall=0.095h
  ep1 shard 23/1720 loss=0.000172  best=-inf wall=0.1h
  ep1 shard 24/1720 loss=0.000281  best=-inf wall=0.105h
  ep1 shard 25/1720 loss=0.000204  best=-inf wall=0.11h
  ep1 shard 26/1720 loss=0.000168  best=-inf wall=0.114h
  ep1 shard 27/1720 loss=0.000233  best=-inf wall=0.118h
  ep1 shard 28/1720 loss=0.000161  best=-inf wall=0.121h
  ep1 shard 29/1720 loss=0.000143  best=-inf wall=0.126h
  ep1 shard 30/1720 loss=0.000321  best=-inf wall=0.13h
  ep1 shard 31/1720 loss=0.000207  best=-inf wall=0.135h
  ep1 shard 32/1720 loss=0.000201  best=-inf wall=0.139h
  ep1 shard 33/1720 loss=0.000154  best=-inf wall=0.142h
  ep1 shard 34/1720 loss=0.000169  best=-inf wall=0.146h
  ep1 shard 35/1720 loss=0.000165  best=-inf wall=0.151h
  ep1 shard 36/1720 loss=0.000162  best=-inf wall=0.155h
  ep1 shard 37/1720 loss=0.000261  best=-inf wall=0.158h
