[arch] mlp hidden [512, 512, 256, 256] in=201, 0.912M params (0.565M deployable)
exp011 outcomes6 [cpu]: 86 shards x 20 epochs, lr=0.001 holdout_frac=0.0 split_seed=14
  ep1 shard 1/1720 loss=0.896218  best=-inf wall=0.001h
  ep1 shard 2/1720 loss=0.926288  best=-inf wall=0.006h
  ep1 shard 3/1720 loss=0.857292  best=-inf wall=0.011h
  ep1 shard 4/1720 loss=0.855867  best=-inf wall=0.014h
  ep1 shard 5/1720 loss=0.826076  best=-inf wall=0.016h
  ep1 shard 6/1720 loss=0.904212  best=-inf wall=0.018h
  ep1 shard 7/1720 loss=0.896085  best=-inf wall=0.023h
  ep1 shard 8/1720 loss=0.892125  best=-inf wall=0.028h
  ep1 shard 9/1720 loss=0.874146  best=-inf wall=0.033h
  ep1 shard 10/1720 loss=0.870332  best=-inf wall=0.039h
  ep1 shard 11/1720 loss=0.885699  best=-inf wall=0.042h
  ep1 shard 12/1720 loss=0.838731  best=-inf wall=0.047h
  ep1 shard 13/1720 loss=0.873383  best=-inf wall=0.052h
  ep1 shard 14/1720 loss=0.888449  best=-inf wall=0.057h
  ep1 shard 15/1720 loss=0.851041  best=-inf wall=0.062h
  ep1 shard 16/1720 loss=0.874239  best=-inf wall=0.067h
  ep1 shard 17/1720 loss=0.793208  best=-inf wall=0.072h
  ep1 shard 18/1720 loss=0.906106  best=-inf wall=0.078h
  ep1 shard 19/1720 loss=0.865066  best=-inf wall=0.083h
  ep1 shard 20/1720 loss=0.826095  best=-inf wall=0.088h
  ep1 shard 21/1720 loss=0.838802  best=-inf wall=0.093h
  ep1 shard 22/1720 loss=0.871974  best=-inf wall=0.098h
  ep1 shard 23/1720 loss=0.866556  best=-inf wall=0.103h
  ep1 shard 24/1720 loss=0.875698  best=-inf wall=0.108h
  ep1 shard 25/1720 loss=0.84807  best=-inf wall=0.114h
  ep1 shard 26/1720 loss=0.858785  best=-inf wall=0.119h
  ep1 shard 27/1720 loss=0.856745  best=-inf wall=0.123h
  ep1 shard 28/1720 loss=0.841199  best=-inf wall=0.126h
  ep1 shard 29/1720 loss=0.825899  best=-inf wall=0.131h
  ep1 shard 30/1720 loss=0.818336  best=-inf wall=0.135h
  ep1 shard 31/1720 loss=0.828873  best=-inf wall=0.14h
  ep1 shard 32/1720 loss=0.81194  best=-inf wall=0.145h
  ep1 shard 33/1720 loss=0.855706  best=-inf wall=0.148h
  ep1 shard 34/1720 loss=0.869227  best=-inf wall=0.152h
  ep1 shard 35/1720 loss=0.848758  best=-inf wall=0.157h
  ep1 shard 36/1720 loss=0.831319  best=-inf wall=0.161h
  ep1 shard 37/1720 loss=0.848335  best=-inf wall=0.165h
  ep1 shard 38/1720 loss=0.862593  best=-inf wall=0.17h
  ep1 shard 39/1720 loss=0.817867  best=-inf wall=0.175h
  ep1 shard 40/1720 loss=0.860013  best=-inf wall=0.181h
  ep1 shard 41/1720 loss=0.824007  best=-inf wall=0.185h
  ep1 shard 42/1720 loss=0.844789  best=-inf wall=0.19h
  ep1 shard 43/1720 loss=0.887906  best=-inf wall=0.196h
  ep1 shard 44/1720 loss=0.836118  best=-inf wall=0.201h
  ep1 shard 45/1720 loss=0.904031  best=-inf wall=0.206h
  ep1 shard 46/1720 loss=0.850293  best=-inf wall=0.211h
  ep1 shard 47/1720 loss=0.864355  best=-inf wall=0.214h
  ep1 shard 48/1720 loss=0.87748  best=-inf wall=0.219h
  ep1 shard 49/1720 loss=0.896841  best=-inf wall=0.224h
  ep1 shard 50/1720 loss=0.824501  best=-inf wall=0.226h
  ep1 shard 51/1720 loss=0.840064  best=-inf wall=0.231h
  ep1 shard 52/1720 loss=0.83788  best=-inf wall=0.235h
  ep1 shard 53/1720 loss=0.857603  best=-inf wall=0.24h
  ep1 shard 54/1720 loss=0.908328  best=-inf wall=0.246h
  ep1 shard 55/1720 loss=0.858803  best=-inf wall=0.251h
  ep1 shard 56/1720 loss=0.835734  best=-inf wall=0.256h
