[arch] mlp hidden [512, 512, 256, 256] in=210, 0.917M params (0.569M deployable)
exp011 outcomes6 [cpu]: 86 shards x 8 epochs, lr=0.001 holdout_frac=0.0 split_seed=14
  ep1 shard 1/688 loss=0.883951  best=-inf wall=0.002h
  ep1 shard 2/688 loss=0.895959  best=-inf wall=0.007h
  ep1 shard 3/688 loss=0.868712  best=-inf wall=0.012h
  ep1 shard 4/688 loss=0.890733  best=-inf wall=0.015h
  ep1 shard 5/688 loss=0.839713  best=-inf wall=0.018h
  ep1 shard 6/688 loss=0.862369  best=-inf wall=0.02h
  ep1 shard 7/688 loss=0.866445  best=-inf wall=0.025h
  ep1 shard 8/688 loss=0.810162  best=-inf wall=0.029h
  ep1 shard 9/688 loss=0.901096  best=-inf wall=0.033h
  ep1 shard 10/688 loss=0.89873  best=-inf wall=0.038h
  ep1 shard 11/688 loss=0.847927  best=-inf wall=0.041h
  ep1 shard 12/688 loss=0.83282  best=-inf wall=0.046h
  ep1 shard 13/688 loss=0.819537  best=-inf wall=0.052h
  ep1 shard 14/688 loss=0.852463  best=-inf wall=0.057h
  ep1 shard 15/688 loss=0.838862  best=-inf wall=0.062h
  ep1 shard 16/688 loss=0.861198  best=-inf wall=0.066h
  ep1 shard 17/688 loss=0.872543  best=-inf wall=0.071h
  ep1 shard 18/688 loss=0.894331  best=-inf wall=0.076h
  ep1 shard 19/688 loss=0.883075  best=-inf wall=0.081h
  ep1 shard 20/688 loss=0.841824  best=-inf wall=0.086h
  ep1 shard 21/688 loss=0.855188  best=-inf wall=0.091h
  ep1 shard 22/688 loss=0.860613  best=-inf wall=0.095h
  ep1 shard 23/688 loss=0.875071  best=-inf wall=0.1h
  ep1 shard 24/688 loss=0.874034  best=-inf wall=0.105h
  ep1 shard 25/688 loss=0.878416  best=-inf wall=0.11h
  ep1 shard 26/688 loss=0.845375  best=-inf wall=0.114h
  ep1 shard 27/688 loss=0.845278  best=-inf wall=0.119h
  ep1 shard 28/688 loss=0.861359  best=-inf wall=0.122h
  ep1 shard 29/688 loss=0.85849  best=-inf wall=0.127h
  ep1 shard 30/688 loss=0.881108  best=-inf wall=0.131h
  ep1 shard 31/688 loss=0.880711  best=-inf wall=0.135h
  ep1 shard 32/688 loss=0.874005  best=-inf wall=0.141h
  ep1 shard 33/688 loss=0.842804  best=-inf wall=0.144h
  ep1 shard 34/688 loss=0.854573  best=-inf wall=0.148h
  ep1 shard 35/688 loss=0.849751  best=-inf wall=0.153h
  ep1 shard 36/688 loss=0.88796  best=-inf wall=0.158h
  ep1 shard 37/688 loss=0.878402  best=-inf wall=0.162h
  ep1 shard 38/688 loss=0.828201  best=-inf wall=0.167h
  ep1 shard 39/688 loss=0.852103  best=-inf wall=0.173h
  ep1 shard 40/688 loss=0.874446  best=-inf wall=0.177h
  ep1 shard 41/688 loss=0.838164  best=-inf wall=0.182h
  ep1 shard 42/688 loss=0.849028  best=-inf wall=0.188h
  ep1 shard 43/688 loss=0.907244  best=-inf wall=0.193h
  ep1 shard 44/688 loss=0.817082  best=-inf wall=0.198h
  ep1 shard 45/688 loss=0.847954  best=-inf wall=0.203h
  ep1 shard 46/688 loss=0.864435  best=-inf wall=0.207h
  ep1 shard 47/688 loss=0.880092  best=-inf wall=0.21h
  ep1 shard 48/688 loss=0.825204  best=-inf wall=0.215h
  ep1 shard 49/688 loss=0.842168  best=-inf wall=0.22h
  ep1 shard 50/688 loss=0.857488  best=-inf wall=0.222h
  ep1 shard 51/688 loss=0.890818  best=-inf wall=0.226h
  ep1 shard 52/688 loss=0.827717  best=-inf wall=0.229h
  ep1 shard 53/688 loss=0.834863  best=-inf wall=0.234h
  ep1 shard 54/688 loss=0.830654  best=-inf wall=0.24h
  ep1 shard 55/688 loss=0.833171  best=-inf wall=0.245h
  ep1 shard 56/688 loss=0.86095  best=-inf wall=0.249h
  ep1 shard 57/688 loss=0.857994  best=-inf wall=0.255h
  ep1 shard 58/688 loss=0.875217  best=-inf wall=0.26h
  ep1 shard 59/688 loss=0.879531  best=-inf wall=0.265h
  ep1 shard 60/688 loss=0.855151  best=-inf wall=0.271h
  ep1 shard 61/688 loss=0.821025  best=-inf wall=0.276h
  ep1 shard 62/688 loss=0.858208  best=-inf wall=0.281h
  ep1 shard 63/688 loss=0.861819  best=-inf wall=0.287h
  ep1 shard 64/688 loss=0.840312  best=-inf wall=0.292h
  ep1 shard 65/688 loss=0.844169  best=-inf wall=0.295h
  ep1 shard 66/688 loss=0.799493  best=-inf wall=0.3h
  ep1 shard 67/688 loss=0.853753  best=-inf wall=0.305h
  ep1 shard 68/688 loss=0.835234  best=-inf wall=0.311h
  ep1 shard 69/688 loss=0.86579  best=-inf wall=0.316h
  ep1 shard 70/688 loss=0.83139  best=-inf wall=0.321h
  ep1 shard 71/688 loss=0.798016  best=-inf wall=0.326h
  ep1 shard 72/688 loss=0.893356  best=-inf wall=0.332h
  ep1 shard 73/688 loss=0.882245  best=-inf wall=0.336h
  ep1 shard 74/688 loss=0.84505  best=-inf wall=0.34h
  ep1 shard 75/688 loss=0.893397  best=-inf wall=0.345h
  ep1 shard 76/688 loss=0.839019  best=-inf wall=0.35h
  ep1 shard 77/688 loss=0.819169  best=-inf wall=0.355h
  ep1 shard 78/688 loss=0.826907  best=-inf wall=0.361h
  ep1 shard 79/688 loss=0.862183  best=-inf wall=0.364h
  ep1 shard 80/688 loss=0.845396  best=-inf wall=0.369h
  ep1 shard 81/688 loss=0.816193  best=-inf wall=0.374h
  ep1 shard 82/688 loss=0.852184  best=-inf wall=0.379h
  ep1 shard 83/688 loss=0.835125  best=-inf wall=0.384h
  ep1 shard 84/688 loss=0.83653  best=-inf wall=0.387h
  ep1 shard 85/688 loss=0.863546  best=-inf wall=0.393h
  ep1 shard 86/688 loss=0.829568  best=-inf wall=0.398h
  saved epoch checkpoint -> experiments/exp028-mlp/debroadcast_all26/checkpoints/ep1.pt
  ep2 shard 87/688 loss=0.820418  best=-inf wall=0.401h
  ep2 shard 88/688 loss=0.86434  best=-inf wall=0.407h
  ep2 shard 89/688 loss=0.860529  best=-inf wall=0.412h
  ep2 shard 90/688 loss=0.856436  best=-inf wall=0.413h
  ep2 shard 91/688 loss=0.866819  best=-inf wall=0.418h
  ep2 shard 92/688 loss=0.85013  best=-inf wall=0.423h
  ep2 shard 93/688 loss=0.911545  best=-inf wall=0.424h
  ep2 shard 94/688 loss=0.840355  best=-inf wall=0.427h
  ep2 shard 95/688 loss=0.90468  best=-inf wall=0.433h
