[arch] mlp hidden [512, 512, 256, 256] in=201, 0.912M params (0.565M deployable)
exp011 outcomes6 [cpu]: 86 shards x 8 epochs, lr=0.001 holdout_frac=0.0 split_seed=14
  ep1 shard 1/688 loss=0.906301  best=-inf wall=0.002h
  ep1 shard 2/688 loss=0.854779  best=-inf wall=0.007h
  ep1 shard 3/688 loss=0.863187  best=-inf wall=0.012h
  ep1 shard 4/688 loss=0.840748  best=-inf wall=0.015h
  ep1 shard 5/688 loss=0.855425  best=-inf wall=0.018h
  ep1 shard 6/688 loss=0.846515  best=-inf wall=0.02h
  ep1 shard 7/688 loss=0.872955  best=-inf wall=0.025h
  ep1 shard 8/688 loss=0.873004  best=-inf wall=0.029h
  ep1 shard 9/688 loss=0.900763  best=-inf wall=0.032h
  ep1 shard 10/688 loss=0.901783  best=-inf wall=0.037h
  ep1 shard 11/688 loss=0.823167  best=-inf wall=0.04h
  ep1 shard 12/688 loss=0.838106  best=-inf wall=0.045h
  ep1 shard 13/688 loss=0.820181  best=-inf wall=0.05h
  ep1 shard 14/688 loss=0.863501  best=-inf wall=0.055h
  ep1 shard 15/688 loss=0.862043  best=-inf wall=0.06h
  ep1 shard 16/688 loss=0.905955  best=-inf wall=0.064h
  ep1 shard 17/688 loss=0.853127  best=-inf wall=0.068h
  ep1 shard 18/688 loss=0.860329  best=-inf wall=0.073h
  ep1 shard 19/688 loss=0.888172  best=-inf wall=0.078h
  ep1 shard 20/688 loss=0.847749  best=-inf wall=0.083h
  ep1 shard 21/688 loss=0.89979  best=-inf wall=0.088h
  ep1 shard 22/688 loss=0.839879  best=-inf wall=0.092h
  ep1 shard 23/688 loss=0.902557  best=-inf wall=0.097h
  ep1 shard 24/688 loss=0.902383  best=-inf wall=0.101h
  ep1 shard 25/688 loss=0.863979  best=-inf wall=0.107h
  ep1 shard 26/688 loss=0.874656  best=-inf wall=0.11h
  ep1 shard 27/688 loss=0.875824  best=-inf wall=0.115h
  ep1 shard 28/688 loss=0.863006  best=-inf wall=0.118h
  ep1 shard 29/688 loss=0.829131  best=-inf wall=0.123h
  ep1 shard 30/688 loss=0.849334  best=-inf wall=0.127h
  ep1 shard 31/688 loss=0.867907  best=-inf wall=0.131h
  ep1 shard 32/688 loss=0.851436  best=-inf wall=0.135h
  ep1 shard 33/688 loss=0.837389  best=-inf wall=0.138h
  ep1 shard 34/688 loss=0.852005  best=-inf wall=0.142h
  ep1 shard 35/688 loss=0.878094  best=-inf wall=0.147h
  ep1 shard 36/688 loss=0.857527  best=-inf wall=0.152h
  ep1 shard 37/688 loss=0.853582  best=-inf wall=0.156h
  ep1 shard 38/688 loss=0.87739  best=-inf wall=0.161h
  ep1 shard 39/688 loss=0.81334  best=-inf wall=0.166h
  ep1 shard 40/688 loss=0.868069  best=-inf wall=0.171h
  ep1 shard 41/688 loss=0.856265  best=-inf wall=0.176h
  ep1 shard 42/688 loss=0.806504  best=-inf wall=0.181h
  ep1 shard 43/688 loss=0.870463  best=-inf wall=0.186h
  ep1 shard 44/688 loss=0.83498  best=-inf wall=0.191h
  ep1 shard 45/688 loss=0.821432  best=-inf wall=0.196h
  ep1 shard 46/688 loss=0.835381  best=-inf wall=0.2h
  ep1 shard 47/688 loss=0.882694  best=-inf wall=0.203h
  ep1 shard 48/688 loss=0.865574  best=-inf wall=0.208h
  ep1 shard 49/688 loss=0.816363  best=-inf wall=0.213h
  ep1 shard 50/688 loss=0.85723  best=-inf wall=0.214h
  ep1 shard 51/688 loss=0.846907  best=-inf wall=0.218h
  ep1 shard 52/688 loss=0.834735  best=-inf wall=0.221h
  ep1 shard 53/688 loss=0.855365  best=-inf wall=0.227h
  ep1 shard 54/688 loss=0.809764  best=-inf wall=0.232h
  ep1 shard 55/688 loss=0.841834  best=-inf wall=0.237h
  ep1 shard 56/688 loss=0.852105  best=-inf wall=0.241h
  ep1 shard 57/688 loss=0.828131  best=-inf wall=0.246h
  ep1 shard 58/688 loss=0.837645  best=-inf wall=0.251h
  ep1 shard 59/688 loss=0.871919  best=-inf wall=0.256h
  ep1 shard 60/688 loss=0.824177  best=-inf wall=0.261h
  ep1 shard 61/688 loss=0.882985  best=-inf wall=0.266h
  ep1 shard 62/688 loss=0.829559  best=-inf wall=0.272h
  ep1 shard 63/688 loss=0.87127  best=-inf wall=0.277h
  ep1 shard 64/688 loss=0.853147  best=-inf wall=0.282h
  ep1 shard 65/688 loss=0.831414  best=-inf wall=0.285h
  ep1 shard 66/688 loss=0.835152  best=-inf wall=0.29h
  ep1 shard 67/688 loss=0.894735  best=-inf wall=0.295h
  ep1 shard 68/688 loss=0.820615  best=-inf wall=0.3h
  ep1 shard 69/688 loss=0.838126  best=-inf wall=0.305h
  ep1 shard 70/688 loss=0.836256  best=-inf wall=0.31h
  ep1 shard 71/688 loss=0.830288  best=-inf wall=0.315h
  ep1 shard 72/688 loss=0.875889  best=-inf wall=0.32h
  ep1 shard 73/688 loss=0.830087  best=-inf wall=0.324h
  ep1 shard 74/688 loss=0.86624  best=-inf wall=0.328h
  ep1 shard 75/688 loss=0.88894  best=-inf wall=0.333h
  ep1 shard 76/688 loss=0.834121  best=-inf wall=0.338h
  ep1 shard 77/688 loss=0.840875  best=-inf wall=0.343h
  ep1 shard 78/688 loss=0.831847  best=-inf wall=0.348h
  ep1 shard 79/688 loss=0.81753  best=-inf wall=0.351h
  ep1 shard 80/688 loss=0.834076  best=-inf wall=0.356h
  ep1 shard 81/688 loss=0.848015  best=-inf wall=0.361h
  ep1 shard 82/688 loss=0.874835  best=-inf wall=0.366h
  ep1 shard 83/688 loss=0.843876  best=-inf wall=0.371h
  ep1 shard 84/688 loss=0.864393  best=-inf wall=0.374h
  ep1 shard 85/688 loss=0.848505  best=-inf wall=0.379h
  ep1 shard 86/688 loss=0.834224  best=-inf wall=0.385h
  saved epoch checkpoint -> experiments/exp028-mlp/debroadcast_base/checkpoints/ep1.pt
  ep2 shard 87/688 loss=0.862081  best=-inf wall=0.388h
  ep2 shard 88/688 loss=0.823118  best=-inf wall=0.393h
  ep2 shard 89/688 loss=0.838469  best=-inf wall=0.398h
  ep2 shard 90/688 loss=0.879335  best=-inf wall=0.399h
  ep2 shard 91/688 loss=0.839482  best=-inf wall=0.403h
  ep2 shard 92/688 loss=0.882305  best=-inf wall=0.408h
  ep2 shard 93/688 loss=0.846866  best=-inf wall=0.41h
  ep2 shard 94/688 loss=0.868571  best=-inf wall=0.413h
  ep2 shard 95/688 loss=0.835604  best=-inf wall=0.418h
  ep2 shard 96/688 loss=0.866074  best=-inf wall=0.422h
  ep2 shard 97/688 loss=0.835708  best=-inf wall=0.427h
  ep2 shard 98/688 loss=0.867877  best=-inf wall=0.432h
  ep2 shard 99/688 loss=0.826872  best=-inf wall=0.437h
  ep2 shard 100/688 loss=0.818861  best=-inf wall=0.44h
  ep2 shard 101/688 loss=0.847627  best=-inf wall=0.444h
  ep2 shard 102/688 loss=0.842087  best=-inf wall=0.449h
  ep2 shard 103/688 loss=0.84403  best=-inf wall=0.454h
  ep2 shard 104/688 loss=0.864556  best=-inf wall=0.459h
  ep2 shard 105/688 loss=0.830136  best=-inf wall=0.464h
  ep2 shard 106/688 loss=0.829406  best=-inf wall=0.469h
  ep2 shard 107/688 loss=0.925579  best=-inf wall=0.474h
  ep2 shard 108/688 loss=0.909209  best=-inf wall=0.477h
  ep2 shard 109/688 loss=0.8651  best=-inf wall=0.481h
  ep2 shard 110/688 loss=0.838432  best=-inf wall=0.486h
  ep2 shard 111/688 loss=0.813344  best=-inf wall=0.491h
  ep2 shard 112/688 loss=0.870013  best=-inf wall=0.496h
  ep2 shard 113/688 loss=0.81417  best=-inf wall=0.5h
  ep2 shard 114/688 loss=0.890579  best=-inf wall=0.505h
  ep2 shard 115/688 loss=0.851819  best=-inf wall=0.508h
  ep2 shard 116/688 loss=0.800619  best=-inf wall=0.512h
  ep2 shard 117/688 loss=0.863503  best=-inf wall=0.517h
  ep2 shard 118/688 loss=0.858928  best=-inf wall=0.522h
  ep2 shard 119/688 loss=0.865103  best=-inf wall=0.527h
  ep2 shard 120/688 loss=0.830369  best=-inf wall=0.531h
  ep2 shard 121/688 loss=0.840118  best=-inf wall=0.536h
