[arch] mlp hidden [256, 256], 0.575M parameters
exp011 outcomes6 [cpu]: 48 shards x 12 epochs, lr=0.001 holdout_frac=0.0 split_seed=14
  ep1 shard 1/576 loss=0.823119  best=-inf wall=0.002h
  ep1 shard 2/576 loss=0.842239  best=-inf wall=0.004h
  ep1 shard 3/576 loss=0.810844  best=-inf wall=0.007h
  ep1 shard 4/576 loss=0.858117  best=-inf wall=0.009h
  ep1 shard 5/576 loss=0.843214  best=-inf wall=0.011h
  ep1 shard 6/576 loss=0.885523  best=-inf wall=0.013h
  ep1 shard 7/576 loss=0.852201  best=-inf wall=0.015h
  ep1 shard 8/576 loss=0.860563  best=-inf wall=0.017h
  ep1 shard 9/576 loss=0.877772  best=-inf wall=0.02h
  ep1 shard 10/576 loss=0.865512  best=-inf wall=0.022h
  ep1 shard 11/576 loss=0.840711  best=-inf wall=0.025h
  ep1 shard 12/576 loss=0.887917  best=-inf wall=0.027h
  ep1 shard 13/576 loss=0.819775  best=-inf wall=0.031h
  ep1 shard 14/576 loss=0.902658  best=-inf wall=0.034h
  ep1 shard 15/576 loss=0.841622  best=-inf wall=0.037h
  ep1 shard 16/576 loss=0.837862  best=-inf wall=0.04h
  ep1 shard 17/576 loss=0.844481  best=-inf wall=0.043h
  ep1 shard 18/576 loss=0.849933  best=-inf wall=0.046h
  ep1 shard 19/576 loss=0.82547  best=-inf wall=0.05h
  ep1 shard 20/576 loss=0.848085  best=-inf wall=0.052h
  ep1 shard 21/576 loss=0.854907  best=-inf wall=0.055h
  ep1 shard 22/576 loss=0.862559  best=-inf wall=0.058h
  ep1 shard 23/576 loss=0.916027  best=-inf wall=0.061h
  ep1 shard 24/576 loss=0.837822  best=-inf wall=0.065h
  ep1 shard 25/576 loss=0.86425  best=-inf wall=0.068h
  ep1 shard 26/576 loss=0.872365  best=-inf wall=0.071h
  ep1 shard 27/576 loss=0.876209  best=-inf wall=0.074h
  ep1 shard 28/576 loss=0.900623  best=-inf wall=0.078h
  ep1 shard 29/576 loss=0.887524  best=-inf wall=0.081h
  ep1 shard 30/576 loss=0.826594  best=-inf wall=0.084h
  ep1 shard 31/576 loss=0.884759  best=-inf wall=0.086h
  ep1 shard 32/576 loss=0.884004  best=-inf wall=0.089h
  ep1 shard 33/576 loss=0.879948  best=-inf wall=0.092h
  ep1 shard 34/576 loss=0.876548  best=-inf wall=0.096h
  ep1 shard 35/576 loss=0.840271  best=-inf wall=0.099h
  ep1 shard 36/576 loss=0.832808  best=-inf wall=0.102h
  ep1 shard 37/576 loss=0.856059  best=-inf wall=0.106h
  ep1 shard 38/576 loss=0.84596  best=-inf wall=0.109h
  ep1 shard 39/576 loss=0.882981  best=-inf wall=0.112h
  ep1 shard 40/576 loss=0.875013  best=-inf wall=0.116h
  ep1 shard 41/576 loss=0.850639  best=-inf wall=0.119h
  ep1 shard 42/576 loss=0.840558  best=-inf wall=0.122h
  ep1 shard 43/576 loss=0.848231  best=-inf wall=0.126h
  ep1 shard 44/576 loss=0.861209  best=-inf wall=0.129h
  ep1 shard 45/576 loss=0.882591  best=-inf wall=0.132h
  ep1 shard 46/576 loss=0.890812  best=-inf wall=0.135h
  ep1 shard 47/576 loss=0.844933  best=-inf wall=0.138h
  ep1 shard 48/576 loss=0.854869  best=-inf wall=0.142h
  saved epoch checkpoint -> experiments/exp028-mlp/mlp_256_256/checkpoints/ep1.pt
  ep2 shard 49/576 loss=0.871784  best=-inf wall=0.145h
  ep2 shard 50/576 loss=0.823875  best=-inf wall=0.149h
  ep2 shard 51/576 loss=0.857542  best=-inf wall=0.152h
  ep2 shard 52/576 loss=0.880557  best=-inf wall=0.154h
  ep2 shard 53/576 loss=0.822871  best=-inf wall=0.158h
  ep2 shard 54/576 loss=0.865618  best=-inf wall=0.161h
  ep2 shard 55/576 loss=0.853478  best=-inf wall=0.164h
  ep2 shard 56/576 loss=0.849337  best=-inf wall=0.167h
  ep2 shard 57/576 loss=0.886739  best=-inf wall=0.17h
  ep2 shard 58/576 loss=0.840499  best=-inf wall=0.173h
  ep2 shard 59/576 loss=0.858104  best=-inf wall=0.176h
  ep2 shard 60/576 loss=0.898092  best=-inf wall=0.18h
  ep2 shard 61/576 loss=0.865481  best=-inf wall=0.183h
  ep2 shard 62/576 loss=0.884086  best=-inf wall=0.186h
  ep2 shard 63/576 loss=0.874522  best=-inf wall=0.188h
  ep2 shard 64/576 loss=0.867914  best=-inf wall=0.191h
  ep2 shard 65/576 loss=0.833262  best=-inf wall=0.194h
  ep2 shard 66/576 loss=0.865272  best=-inf wall=0.197h
  ep2 shard 67/576 loss=0.878523  best=-inf wall=0.201h
  ep2 shard 68/576 loss=0.877756  best=-inf wall=0.204h
  ep2 shard 69/576 loss=0.841688  best=-inf wall=0.207h
  ep2 shard 70/576 loss=0.808029  best=-inf wall=0.211h
  ep2 shard 71/576 loss=0.837395  best=-inf wall=0.215h
  ep2 shard 72/576 loss=0.902876  best=-inf wall=0.217h
  ep2 shard 73/576 loss=0.824338  best=-inf wall=0.22h
  ep2 shard 74/576 loss=0.891048  best=-inf wall=0.223h
  ep2 shard 75/576 loss=0.910709  best=-inf wall=0.227h
  ep2 shard 76/576 loss=0.850692  best=-inf wall=0.23h
  ep2 shard 77/576 loss=0.896297  best=-inf wall=0.232h
  ep2 shard 78/576 loss=0.844094  best=-inf wall=0.235h
  ep2 shard 79/576 loss=0.869029  best=-inf wall=0.237h
  ep2 shard 80/576 loss=0.847046  best=-inf wall=0.24h
  ep2 shard 81/576 loss=0.787308  best=-inf wall=0.244h
  ep2 shard 82/576 loss=0.845314  best=-inf wall=0.247h
  ep2 shard 83/576 loss=0.897958  best=-inf wall=0.25h
  ep2 shard 84/576 loss=0.852747  best=-inf wall=0.253h
  ep2 shard 85/576 loss=0.873536  best=-inf wall=0.255h
  ep2 shard 86/576 loss=0.853891  best=-inf wall=0.257h
  ep2 shard 87/576 loss=0.876794  best=-inf wall=0.26h
  ep2 shard 88/576 loss=0.831248  best=-inf wall=0.263h
  ep2 shard 89/576 loss=0.85734  best=-inf wall=0.266h
  ep2 shard 90/576 loss=0.865538  best=-inf wall=0.268h
  ep2 shard 91/576 loss=0.818991  best=-inf wall=0.27h
  ep2 shard 92/576 loss=0.865615  best=-inf wall=0.274h
  ep2 shard 93/576 loss=0.853375  best=-inf wall=0.277h
  ep2 shard 94/576 loss=0.857025  best=-inf wall=0.28h
  ep2 shard 95/576 loss=0.855325  best=-inf wall=0.284h
  ep2 shard 96/576 loss=0.869162  best=-inf wall=0.287h
  saved epoch checkpoint -> experiments/exp028-mlp/mlp_256_256/checkpoints/ep2.pt
  ep3 shard 97/576 loss=0.843358  best=-inf wall=0.29h
  ep3 shard 98/576 loss=0.846953  best=-inf wall=0.294h
  ep3 shard 99/576 loss=0.830391  best=-inf wall=0.297h
  ep3 shard 100/576 loss=0.878903  best=-inf wall=0.299h
  ep3 shard 101/576 loss=0.877188  best=-inf wall=0.301h
  ep3 shard 102/576 loss=0.891415  best=-inf wall=0.305h
  ep3 shard 103/576 loss=0.826979  best=-inf wall=0.308h
  ep3 shard 104/576 loss=0.874823  best=-inf wall=0.31h
  ep3 shard 105/576 loss=0.905219  best=-inf wall=0.313h
  ep3 shard 106/576 loss=0.843665  best=-inf wall=0.316h
  ep3 shard 107/576 loss=0.841358  best=-inf wall=0.319h
  ep3 shard 108/576 loss=0.874035  best=-inf wall=0.322h
  ep3 shard 109/576 loss=0.826895  best=-inf wall=0.325h
  ep3 shard 110/576 loss=0.845307  best=-inf wall=0.328h
  ep3 shard 111/576 loss=0.845745  best=-inf wall=0.331h
  ep3 shard 112/576 loss=0.853776  best=-inf wall=0.335h
  ep3 shard 113/576 loss=0.853782  best=-inf wall=0.338h
  ep3 shard 114/576 loss=0.89259  best=-inf wall=0.341h
  ep3 shard 115/576 loss=0.845814  best=-inf wall=0.345h
  ep3 shard 116/576 loss=0.844039  best=-inf wall=0.347h
  ep3 shard 117/576 loss=0.835396  best=-inf wall=0.35h
  ep3 shard 118/576 loss=0.861213  best=-inf wall=0.353h
  ep3 shard 119/576 loss=0.827043  best=-inf wall=0.356h
  ep3 shard 120/576 loss=0.857783  best=-inf wall=0.36h
  ep3 shard 121/576 loss=0.860142  best=-inf wall=0.362h
  ep3 shard 122/576 loss=0.869455  best=-inf wall=0.365h
  ep3 shard 123/576 loss=0.835443  best=-inf wall=0.368h
  ep3 shard 124/576 loss=0.889291  best=-inf wall=0.372h
  ep3 shard 125/576 loss=0.849585  best=-inf wall=0.375h
  ep3 shard 126/576 loss=0.855413  best=-inf wall=0.377h
  ep3 shard 127/576 loss=0.829599  best=-inf wall=0.379h
  ep3 shard 128/576 loss=0.931543  best=-inf wall=0.382h
  ep3 shard 129/576 loss=0.903111  best=-inf wall=0.386h
  ep3 shard 130/576 loss=0.850463  best=-inf wall=0.388h
  ep3 shard 131/576 loss=0.844766  best=-inf wall=0.39h
  ep3 shard 132/576 loss=0.85231  best=-inf wall=0.393h
  ep3 shard 133/576 loss=0.850276  best=-inf wall=0.397h
  ep3 shard 134/576 loss=0.818961  best=-inf wall=0.4h
  ep3 shard 135/576 loss=0.842245  best=-inf wall=0.404h
  ep3 shard 136/576 loss=0.897994  best=-inf wall=0.406h
  ep3 shard 137/576 loss=0.880602  best=-inf wall=0.409h
  ep3 shard 138/576 loss=0.846419  best=-inf wall=0.413h
  ep3 shard 139/576 loss=0.840906  best=-inf wall=0.416h
  ep3 shard 140/576 loss=0.885637  best=-inf wall=0.419h
  ep3 shard 141/576 loss=0.819123  best=-inf wall=0.421h
  ep3 shard 142/576 loss=0.893908  best=-inf wall=0.424h
  ep3 shard 143/576 loss=0.860296  best=-inf wall=0.428h
  ep3 shard 144/576 loss=0.824229  best=-inf wall=0.431h
  saved epoch checkpoint -> experiments/exp028-mlp/mlp_256_256/checkpoints/ep3.pt
  ep4 shard 145/576 loss=0.886409  best=-inf wall=0.434h
  ep4 shard 146/576 loss=0.805354  best=-inf wall=0.437h
  ep4 shard 147/576 loss=0.90463  best=-inf wall=0.441h
  ep4 shard 148/576 loss=0.844662  best=-inf wall=0.444h
  ep4 shard 149/576 loss=0.854146  best=-inf wall=0.447h
  ep4 shard 150/576 loss=0.888695  best=-inf wall=0.45h
  ep4 shard 151/576 loss=0.854317  best=-inf wall=0.454h
  ep4 shard 152/576 loss=0.879387  best=-inf wall=0.456h
  ep4 shard 153/576 loss=0.873614  best=-inf wall=0.459h
  ep4 shard 154/576 loss=0.860204  best=-inf wall=0.463h
  ep4 shard 155/576 loss=0.853706  best=-inf wall=0.465h
  ep4 shard 156/576 loss=0.820981  best=-inf wall=0.468h
  ep4 shard 157/576 loss=0.837248  best=-inf wall=0.47h
  ep4 shard 158/576 loss=0.882359  best=-inf wall=0.473h
  ep4 shard 159/576 loss=0.863045  best=-inf wall=0.476h
  ep4 shard 160/576 loss=0.827575  best=-inf wall=0.479h
  ep4 shard 161/576 loss=0.828781  best=-inf wall=0.482h
  ep4 shard 162/576 loss=0.86695  best=-inf wall=0.485h
  ep4 shard 163/576 loss=0.843165  best=-inf wall=0.488h
  ep4 shard 164/576 loss=0.831779  best=-inf wall=0.492h
  ep4 shard 165/576 loss=0.886098  best=-inf wall=0.494h
  ep4 shard 166/576 loss=0.831611  best=-inf wall=0.497h
  ep4 shard 167/576 loss=0.837301  best=-inf wall=0.5h
  ep4 shard 168/576 loss=0.836413  best=-inf wall=0.503h
  ep4 shard 169/576 loss=0.815592  best=-inf wall=0.506h
  ep4 shard 170/576 loss=0.846372  best=-inf wall=0.509h
  ep4 shard 171/576 loss=0.87103  best=-inf wall=0.513h
