[arch] mlp hidden [512, 512, 256, 256], 1.129M parameters
exp011 outcomes6 [cpu]: 48 shards x 12 epochs, lr=0.001 holdout_frac=0.0 split_seed=14
  ep1 shard 1/576 loss=0.90936  best=-inf wall=0.005h
  ep1 shard 2/576 loss=0.895151  best=-inf wall=0.01h
  ep1 shard 3/576 loss=0.870548  best=-inf wall=0.014h
  ep1 shard 4/576 loss=0.898432  best=-inf wall=0.019h
  ep1 shard 5/576 loss=0.881386  best=-inf wall=0.023h
  ep1 shard 6/576 loss=0.7966  best=-inf wall=0.027h
  ep1 shard 7/576 loss=0.863187  best=-inf wall=0.032h
  ep1 shard 8/576 loss=0.871211  best=-inf wall=0.036h
  ep1 shard 9/576 loss=0.866842  best=-inf wall=0.04h
  ep1 shard 10/576 loss=0.880369  best=-inf wall=0.045h
  ep1 shard 11/576 loss=0.847854  best=-inf wall=0.05h
  ep1 shard 12/576 loss=0.868834  best=-inf wall=0.056h
  ep1 shard 13/576 loss=0.874928  best=-inf wall=0.061h
  ep1 shard 14/576 loss=0.862917  best=-inf wall=0.067h
  ep1 shard 15/576 loss=0.873567  best=-inf wall=0.072h
  ep1 shard 16/576 loss=0.856665  best=-inf wall=0.077h
  ep1 shard 17/576 loss=0.842554  best=-inf wall=0.083h
  ep1 shard 18/576 loss=0.848447  best=-inf wall=0.088h
  ep1 shard 19/576 loss=0.878007  best=-inf wall=0.093h
  ep1 shard 20/576 loss=0.878269  best=-inf wall=0.099h
  ep1 shard 21/576 loss=0.83495  best=-inf wall=0.104h
  ep1 shard 22/576 loss=0.857007  best=-inf wall=0.11h
  ep1 shard 23/576 loss=0.847726  best=-inf wall=0.115h
  ep1 shard 24/576 loss=0.85005  best=-inf wall=0.12h
  ep1 shard 25/576 loss=0.866889  best=-inf wall=0.126h
  ep1 shard 26/576 loss=0.853953  best=-inf wall=0.131h
  ep1 shard 27/576 loss=0.849962  best=-inf wall=0.137h
  ep1 shard 28/576 loss=0.860643  best=-inf wall=0.142h
  ep1 shard 29/576 loss=0.879153  best=-inf wall=0.147h
  ep1 shard 30/576 loss=0.846981  best=-inf wall=0.153h
  ep1 shard 31/576 loss=0.865701  best=-inf wall=0.158h
  ep1 shard 32/576 loss=0.877686  best=-inf wall=0.163h
  ep1 shard 33/576 loss=0.908948  best=-inf wall=0.169h
  ep1 shard 34/576 loss=0.855521  best=-inf wall=0.174h
  ep1 shard 35/576 loss=0.872616  best=-inf wall=0.18h
  ep1 shard 36/576 loss=0.875484  best=-inf wall=0.186h
  ep1 shard 37/576 loss=0.849817  best=-inf wall=0.191h
  ep1 shard 38/576 loss=0.858233  best=-inf wall=0.197h
  ep1 shard 39/576 loss=0.861713  best=-inf wall=0.203h
  ep1 shard 40/576 loss=0.858082  best=-inf wall=0.208h
  ep1 shard 41/576 loss=0.90608  best=-inf wall=0.214h
  ep1 shard 42/576 loss=0.866401  best=-inf wall=0.22h
  ep1 shard 43/576 loss=0.852877  best=-inf wall=0.226h
  ep1 shard 44/576 loss=0.812361  best=-inf wall=0.231h
  ep1 shard 45/576 loss=0.876644  best=-inf wall=0.237h
  ep1 shard 46/576 loss=0.863078  best=-inf wall=0.242h
  ep1 shard 47/576 loss=0.845333  best=-inf wall=0.248h
  ep1 shard 48/576 loss=0.870103  best=-inf wall=0.254h
  saved epoch checkpoint -> experiments/exp028-mlp/mlp_512_512_256_256/checkpoints/ep1.pt
  ep2 shard 49/576 loss=0.806739  best=-inf wall=0.26h
  ep2 shard 50/576 loss=0.839426  best=-inf wall=0.266h
  ep2 shard 51/576 loss=0.860612  best=-inf wall=0.272h
  ep2 shard 52/576 loss=0.869799  best=-inf wall=0.277h
  ep2 shard 53/576 loss=0.87525  best=-inf wall=0.282h
  ep2 shard 54/576 loss=0.836174  best=-inf wall=0.288h
  ep2 shard 55/576 loss=0.86001  best=-inf wall=0.294h
  ep2 shard 56/576 loss=0.895533  best=-inf wall=0.299h
  ep2 shard 57/576 loss=0.857009  best=-inf wall=0.304h
  ep2 shard 58/576 loss=0.883518  best=-inf wall=0.31h
  ep2 shard 59/576 loss=0.835813  best=-inf wall=0.316h
  ep2 shard 60/576 loss=0.848439  best=-inf wall=0.322h
  ep2 shard 61/576 loss=0.848424  best=-inf wall=0.327h
  ep2 shard 62/576 loss=0.844316  best=-inf wall=0.333h
  ep2 shard 63/576 loss=0.836501  best=-inf wall=0.338h
  ep2 shard 64/576 loss=0.838587  best=-inf wall=0.343h
  ep2 shard 65/576 loss=0.889809  best=-inf wall=0.349h
  ep2 shard 66/576 loss=0.879181  best=-inf wall=0.355h
  ep2 shard 67/576 loss=0.816903  best=-inf wall=0.361h
  ep2 shard 68/576 loss=0.838828  best=-inf wall=0.366h
  ep2 shard 69/576 loss=0.810098  best=-inf wall=0.372h
  ep2 shard 70/576 loss=0.85451  best=-inf wall=0.378h
  ep2 shard 71/576 loss=0.813479  best=-inf wall=0.384h
  ep2 shard 72/576 loss=0.907276  best=-inf wall=0.389h
  ep2 shard 73/576 loss=0.902506  best=-inf wall=0.394h
  ep2 shard 74/576 loss=0.868586  best=-inf wall=0.4h
  ep2 shard 75/576 loss=0.853034  best=-inf wall=0.405h
  ep2 shard 76/576 loss=0.867309  best=-inf wall=0.411h
  ep2 shard 77/576 loss=0.841978  best=-inf wall=0.416h
  ep2 shard 78/576 loss=0.829934  best=-inf wall=0.421h
  ep2 shard 79/576 loss=0.876237  best=-inf wall=0.426h
  ep2 shard 80/576 loss=0.869189  best=-inf wall=0.431h
  ep2 shard 81/576 loss=0.899744  best=-inf wall=0.437h
  ep2 shard 82/576 loss=0.844553  best=-inf wall=0.442h
  ep2 shard 83/576 loss=0.829522  best=-inf wall=0.448h
  ep2 shard 84/576 loss=0.891421  best=-inf wall=0.453h
  ep2 shard 85/576 loss=0.864733  best=-inf wall=0.458h
  ep2 shard 86/576 loss=0.808515  best=-inf wall=0.463h
  ep2 shard 87/576 loss=0.850516  best=-inf wall=0.467h
  ep2 shard 88/576 loss=0.865118  best=-inf wall=0.473h
  ep2 shard 89/576 loss=0.870004  best=-inf wall=0.478h
  ep2 shard 90/576 loss=0.9042  best=-inf wall=0.483h
  ep2 shard 91/576 loss=0.812158  best=-inf wall=0.487h
  ep2 shard 92/576 loss=0.860135  best=-inf wall=0.493h
  ep2 shard 93/576 loss=0.826541  best=-inf wall=0.499h
  ep2 shard 94/576 loss=0.829816  best=-inf wall=0.505h
  ep2 shard 95/576 loss=0.876201  best=-inf wall=0.511h
  ep2 shard 96/576 loss=0.880227  best=-inf wall=0.525h
  saved epoch checkpoint -> experiments/exp028-mlp/mlp_512_512_256_256/checkpoints/ep2.pt
  ep3 shard 97/576 loss=0.849224  best=-inf wall=0.53h
  ep3 shard 98/576 loss=0.836765  best=-inf wall=0.536h
  ep3 shard 99/576 loss=0.898941  best=-inf wall=0.542h
  ep3 shard 100/576 loss=0.88374  best=-inf wall=0.546h
  ep3 shard 101/576 loss=0.857782  best=-inf wall=0.551h
  ep3 shard 102/576 loss=0.897738  best=-inf wall=0.556h
  ep3 shard 103/576 loss=0.845637  best=-inf wall=0.562h
  ep3 shard 104/576 loss=0.87798  best=-inf wall=0.566h
  ep3 shard 105/576 loss=0.839666  best=-inf wall=0.572h
  ep3 shard 106/576 loss=0.82235  best=-inf wall=0.576h
  ep3 shard 107/576 loss=0.83958  best=-inf wall=0.582h
  ep3 shard 108/576 loss=0.851228  best=-inf wall=0.587h
  ep3 shard 109/576 loss=0.852177  best=-inf wall=0.592h
  ep3 shard 110/576 loss=0.857322  best=-inf wall=0.598h
  ep3 shard 111/576 loss=0.889255  best=-inf wall=0.603h
  ep3 shard 112/576 loss=0.860641  best=-inf wall=0.609h
  ep3 shard 113/576 loss=0.844937  best=-inf wall=0.615h
  ep3 shard 114/576 loss=0.910108  best=-inf wall=0.62h
  ep3 shard 115/576 loss=0.807036  best=-inf wall=0.626h
  ep3 shard 116/576 loss=0.819819  best=-inf wall=0.631h
  ep3 shard 117/576 loss=0.883885  best=-inf wall=0.637h
  ep3 shard 118/576 loss=0.865195  best=-inf wall=0.642h
  ep3 shard 119/576 loss=0.870917  best=-inf wall=0.648h
  ep3 shard 120/576 loss=0.857877  best=-inf wall=0.653h
  ep3 shard 121/576 loss=0.871386  best=-inf wall=0.657h
  ep3 shard 122/576 loss=0.838574  best=-inf wall=0.663h
  ep3 shard 123/576 loss=0.885372  best=-inf wall=0.669h
  ep3 shard 124/576 loss=0.825726  best=-inf wall=0.674h
  ep3 shard 125/576 loss=0.847169  best=-inf wall=0.68h
  ep3 shard 126/576 loss=0.80662  best=-inf wall=0.684h
  ep3 shard 127/576 loss=0.863452  best=-inf wall=0.689h
  ep3 shard 128/576 loss=0.897997  best=-inf wall=0.694h
  ep3 shard 129/576 loss=0.858753  best=-inf wall=0.699h
  ep3 shard 130/576 loss=0.838411  best=-inf wall=0.704h
  ep3 shard 131/576 loss=0.871837  best=-inf wall=0.708h
  ep3 shard 132/576 loss=0.915991  best=-inf wall=0.714h
  ep3 shard 133/576 loss=0.85381  best=-inf wall=0.72h
  ep3 shard 134/576 loss=0.871675  best=-inf wall=0.725h
  ep3 shard 135/576 loss=0.833815  best=-inf wall=0.731h
  ep3 shard 136/576 loss=0.884018  best=-inf wall=0.735h
  ep3 shard 137/576 loss=0.857508  best=-inf wall=0.741h
  ep3 shard 138/576 loss=0.856631  best=-inf wall=0.747h
  ep3 shard 139/576 loss=0.83265  best=-inf wall=0.752h
  ep3 shard 140/576 loss=0.826774  best=-inf wall=0.758h
  ep3 shard 141/576 loss=0.860163  best=-inf wall=0.762h
  ep3 shard 142/576 loss=0.874249  best=-inf wall=0.768h
  ep3 shard 143/576 loss=0.850312  best=-inf wall=0.773h
  ep3 shard 144/576 loss=0.892503  best=-inf wall=0.778h
  saved epoch checkpoint -> experiments/exp028-mlp/mlp_512_512_256_256/checkpoints/ep3.pt
  ep4 shard 145/576 loss=0.809264  best=-inf wall=0.784h
  ep4 shard 146/576 loss=0.884356  best=-inf wall=0.789h
  ep4 shard 147/576 loss=0.881192  best=-inf wall=0.795h
  ep4 shard 148/576 loss=0.86956  best=-inf wall=0.8h
  ep4 shard 149/576 loss=0.80961  best=-inf wall=0.806h
  ep4 shard 150/576 loss=0.844683  best=-inf wall=0.812h
  ep4 shard 151/576 loss=0.821265  best=-inf wall=0.817h
  ep4 shard 152/576 loss=0.873532  best=-inf wall=0.822h
  ep4 shard 153/576 loss=0.901218  best=-inf wall=0.827h
  ep4 shard 154/576 loss=0.847027  best=-inf wall=0.833h
  ep4 shard 155/576 loss=0.875681  best=-inf wall=0.837h
  ep4 shard 156/576 loss=0.897968  best=-inf wall=0.843h
  ep4 shard 157/576 loss=0.845436  best=-inf wall=0.847h
  ep4 shard 158/576 loss=0.842534  best=-inf wall=0.852h
  ep4 shard 159/576 loss=0.869222  best=-inf wall=0.857h
  ep4 shard 160/576 loss=0.903221  best=-inf wall=0.863h
  ep4 shard 161/576 loss=0.869524  best=-inf wall=0.868h
  ep4 shard 162/576 loss=0.877428  best=-inf wall=0.873h
  ep4 shard 163/576 loss=0.819632  best=-inf wall=0.879h
  ep4 shard 164/576 loss=0.875428  best=-inf wall=0.884h
  ep4 shard 165/576 loss=0.830621  best=-inf wall=0.889h
  ep4 shard 166/576 loss=0.868654  best=-inf wall=0.894h
  ep4 shard 167/576 loss=0.84479  best=-inf wall=0.9h
