[arch] mlp hidden [512, 512, 256, 256], 1.018M parameters
exp011 outcomes6 [cpu]: 48 shards x 12 epochs, lr=0.001 holdout_frac=0.0 split_seed=14
  ep1 shard 1/576 loss=0.887394  best=-inf wall=0.004h
  ep1 shard 2/576 loss=0.849119  best=-inf wall=0.008h
  ep1 shard 3/576 loss=0.87052  best=-inf wall=0.012h
  ep1 shard 4/576 loss=0.873563  best=-inf wall=0.016h
  ep1 shard 5/576 loss=0.90249  best=-inf wall=0.02h
  ep1 shard 6/576 loss=0.846369  best=-inf wall=0.025h
  ep1 shard 7/576 loss=0.837678  best=-inf wall=0.029h
  ep1 shard 8/576 loss=0.846718  best=-inf wall=0.033h
  ep1 shard 9/576 loss=0.845274  best=-inf wall=0.037h
  ep1 shard 10/576 loss=0.862679  best=-inf wall=0.041h
  ep1 shard 11/576 loss=0.865445  best=-inf wall=0.046h
  ep1 shard 12/576 loss=0.799861  best=-inf wall=0.05h
  ep1 shard 13/576 loss=0.882352  best=-inf wall=0.055h
  ep1 shard 14/576 loss=0.84886  best=-inf wall=0.06h
  ep1 shard 15/576 loss=0.849689  best=-inf wall=0.065h
  ep1 shard 16/576 loss=0.827537  best=-inf wall=0.07h
  ep1 shard 17/576 loss=0.855288  best=-inf wall=0.076h
  ep1 shard 18/576 loss=0.882218  best=-inf wall=0.081h
  ep1 shard 19/576 loss=0.834275  best=-inf wall=0.086h
  ep1 shard 20/576 loss=0.89541  best=-inf wall=0.09h
  ep1 shard 21/576 loss=0.860888  best=-inf wall=0.095h
  ep1 shard 22/576 loss=0.861818  best=-inf wall=0.1h
  ep1 shard 23/576 loss=0.856901  best=-inf wall=0.105h
  ep1 shard 24/576 loss=0.856718  best=-inf wall=0.111h
  ep1 shard 25/576 loss=0.872407  best=-inf wall=0.116h
  ep1 shard 26/576 loss=0.840922  best=-inf wall=0.121h
  ep1 shard 27/576 loss=0.92009  best=-inf wall=0.126h
  ep1 shard 28/576 loss=0.891965  best=-inf wall=0.131h
  ep1 shard 29/576 loss=0.824753  best=-inf wall=0.136h
  ep1 shard 30/576 loss=0.888669  best=-inf wall=0.141h
  ep1 shard 31/576 loss=0.888785  best=-inf wall=0.145h
  ep1 shard 32/576 loss=0.793779  best=-inf wall=0.151h
  ep1 shard 33/576 loss=0.861806  best=-inf wall=0.156h
  ep1 shard 34/576 loss=0.871402  best=-inf wall=0.161h
  ep1 shard 35/576 loss=0.879845  best=-inf wall=0.166h
  ep1 shard 36/576 loss=0.880904  best=-inf wall=0.172h
  ep1 shard 37/576 loss=0.843989  best=-inf wall=0.177h
  ep1 shard 38/576 loss=0.869099  best=-inf wall=0.182h
  ep1 shard 39/576 loss=0.829599  best=-inf wall=0.188h
  ep1 shard 40/576 loss=0.867575  best=-inf wall=0.193h
  ep1 shard 41/576 loss=0.861524  best=-inf wall=0.198h
  ep1 shard 42/576 loss=0.852405  best=-inf wall=0.204h
  ep1 shard 43/576 loss=0.833253  best=-inf wall=0.209h
  ep1 shard 44/576 loss=0.872347  best=-inf wall=0.215h
  ep1 shard 45/576 loss=0.866872  best=-inf wall=0.22h
  ep1 shard 46/576 loss=0.831233  best=-inf wall=0.224h
  ep1 shard 47/576 loss=0.873008  best=-inf wall=0.23h
  ep1 shard 48/576 loss=0.843632  best=-inf wall=0.235h
