[arch] mlp 1x256 hidden, 0.509M parameters
exp011 outcomes6 [cpu]: 48 shards x 12 epochs, lr=0.001 holdout_frac=0.0 split_seed=14
  ep1 shard 1/576 loss=0.893502  best=-inf wall=0.003h
  ep1 shard 2/576 loss=0.893216  best=-inf wall=0.007h
  ep1 shard 3/576 loss=0.868042  best=-inf wall=0.011h
  ep1 shard 4/576 loss=0.880294  best=-inf wall=0.014h
  ep1 shard 5/576 loss=0.838031  best=-inf wall=0.016h
  ep1 shard 6/576 loss=0.824423  best=-inf wall=0.017h
  ep1 shard 7/576 loss=0.870285  best=-inf wall=0.019h
  ep1 shard 8/576 loss=0.907189  best=-inf wall=0.021h
  ep1 shard 9/576 loss=0.884436  best=-inf wall=0.023h
  ep1 shard 10/576 loss=0.874823  best=-inf wall=0.024h
  ep1 shard 11/576 loss=0.848663  best=-inf wall=0.027h
  ep1 shard 12/576 loss=0.848717  best=-inf wall=0.03h
  ep1 shard 13/576 loss=0.832226  best=-inf wall=0.033h
  ep1 shard 14/576 loss=0.839728  best=-inf wall=0.035h
  ep1 shard 15/576 loss=0.873043  best=-inf wall=0.038h
  ep1 shard 16/576 loss=0.858389  best=-inf wall=0.041h
  ep1 shard 17/576 loss=0.863343  best=-inf wall=0.044h
  ep1 shard 18/576 loss=0.856028  best=-inf wall=0.047h
  ep1 shard 19/576 loss=0.850809  best=-inf wall=0.05h
  ep1 shard 20/576 loss=0.889077  best=-inf wall=0.053h
  ep1 shard 21/576 loss=0.858296  best=-inf wall=0.056h
  ep1 shard 22/576 loss=0.850645  best=-inf wall=0.059h
  ep1 shard 23/576 loss=0.863884  best=-inf wall=0.061h
  ep1 shard 24/576 loss=0.884011  best=-inf wall=0.064h
  ep1 shard 25/576 loss=0.843809  best=-inf wall=0.067h
  ep1 shard 26/576 loss=0.840311  best=-inf wall=0.07h
  ep1 shard 27/576 loss=0.852236  best=-inf wall=0.073h
  ep1 shard 28/576 loss=0.913527  best=-inf wall=0.076h
  ep1 shard 29/576 loss=0.835926  best=-inf wall=0.078h
  ep1 shard 30/576 loss=0.889965  best=-inf wall=0.081h
  ep1 shard 31/576 loss=0.839772  best=-inf wall=0.084h
  ep1 shard 32/576 loss=0.857454  best=-inf wall=0.087h
  ep1 shard 33/576 loss=0.852554  best=-inf wall=0.09h
  ep1 shard 34/576 loss=0.897451  best=-inf wall=0.092h
  ep1 shard 35/576 loss=0.890892  best=-inf wall=0.095h
  ep1 shard 36/576 loss=0.829947  best=-inf wall=0.098h
  ep1 shard 37/576 loss=0.878329  best=-inf wall=0.101h
  ep1 shard 38/576 loss=0.874349  best=-inf wall=0.104h
  ep1 shard 39/576 loss=0.889235  best=-inf wall=0.107h
  ep1 shard 40/576 loss=0.85068  best=-inf wall=0.11h
  ep1 shard 41/576 loss=0.884137  best=-inf wall=0.113h
  ep1 shard 42/576 loss=0.845446  best=-inf wall=0.116h
  ep1 shard 43/576 loss=0.906943  best=-inf wall=0.119h
  ep1 shard 44/576 loss=0.844943  best=-inf wall=0.121h
  ep1 shard 45/576 loss=0.86023  best=-inf wall=0.124h
  ep1 shard 46/576 loss=0.880152  best=-inf wall=0.127h
  ep1 shard 47/576 loss=0.86643  best=-inf wall=0.13h
  ep1 shard 48/576 loss=0.863353  best=-inf wall=0.133h
  saved epoch checkpoint -> experiments/exp028-mlp/mlp_h256_long/checkpoints/ep1.pt
  ep2 shard 49/576 loss=0.885109  best=-inf wall=0.136h
  ep2 shard 50/576 loss=0.887405  best=-inf wall=0.139h
  ep2 shard 51/576 loss=0.858844  best=-inf wall=0.142h
  ep2 shard 52/576 loss=0.87671  best=-inf wall=0.144h
  ep2 shard 53/576 loss=0.877309  best=-inf wall=0.147h
  ep2 shard 54/576 loss=0.867331  best=-inf wall=0.149h
