[arch] mlp hidden [512, 512, 256, 256] in=201, 0.912M params (0.565M deployable)
exp011 outcomes6 [cpu]: 86 shards x 20 epochs, lr=0.001 holdout_frac=0.0 split_seed=14
  ep1 shard 1/1720 loss=0.856567  best=-inf wall=0.002h
  ep1 shard 2/1720 loss=0.879039  best=-inf wall=0.009h
  ep1 shard 3/1720 loss=0.877324  best=-inf wall=0.017h
  ep1 shard 4/1720 loss=0.880925  best=-inf wall=0.02h
  ep1 shard 5/1720 loss=0.887144  best=-inf wall=0.024h
  ep1 shard 6/1720 loss=0.856358  best=-inf wall=0.027h
  ep1 shard 7/1720 loss=0.85914  best=-inf wall=0.034h
  ep1 shard 8/1720 loss=0.909423  best=-inf wall=0.041h
  ep1 shard 9/1720 loss=0.857203  best=-inf wall=0.048h
  ep1 shard 10/1720 loss=0.863674  best=-inf wall=0.054h
  ep1 shard 11/1720 loss=0.850262  best=-inf wall=0.056h
  ep1 shard 12/1720 loss=0.853962  best=-inf wall=0.061h
  ep1 shard 13/1720 loss=0.842768  best=-inf wall=0.066h
  ep1 shard 14/1720 loss=0.88373  best=-inf wall=0.071h
  ep1 shard 15/1720 loss=0.874449  best=-inf wall=0.076h
  ep1 shard 16/1720 loss=0.847855  best=-inf wall=0.081h
  ep1 shard 17/1720 loss=0.818087  best=-inf wall=0.086h
  ep1 shard 18/1720 loss=0.819162  best=-inf wall=0.091h
  ep1 shard 19/1720 loss=0.849662  best=-inf wall=0.096h
  ep1 shard 20/1720 loss=0.827978  best=-inf wall=0.1h
  ep1 shard 21/1720 loss=0.838349  best=-inf wall=0.105h
  ep1 shard 22/1720 loss=0.838312  best=-inf wall=0.111h
  ep1 shard 23/1720 loss=0.883835  best=-inf wall=0.116h
  ep1 shard 24/1720 loss=0.824015  best=-inf wall=0.12h
  ep1 shard 25/1720 loss=0.798922  best=-inf wall=0.125h
  ep1 shard 26/1720 loss=0.829105  best=-inf wall=0.13h
  ep1 shard 27/1720 loss=0.871829  best=-inf wall=0.134h
  ep1 shard 28/1720 loss=0.860408  best=-inf wall=0.137h
  ep1 shard 29/1720 loss=0.849333  best=-inf wall=0.142h
  ep1 shard 30/1720 loss=0.861759  best=-inf wall=0.147h
  ep1 shard 31/1720 loss=0.884484  best=-inf wall=0.152h
  ep1 shard 32/1720 loss=0.844449  best=-inf wall=0.157h
  ep1 shard 33/1720 loss=0.851332  best=-inf wall=0.159h
  ep1 shard 34/1720 loss=0.849693  best=-inf wall=0.164h
  ep1 shard 35/1720 loss=0.87602  best=-inf wall=0.169h
  ep1 shard 36/1720 loss=0.849235  best=-inf wall=0.173h
  ep1 shard 37/1720 loss=0.85122  best=-inf wall=0.177h
  ep1 shard 38/1720 loss=0.814066  best=-inf wall=0.182h
  ep1 shard 39/1720 loss=0.926091  best=-inf wall=0.187h
  ep1 shard 40/1720 loss=0.819826  best=-inf wall=0.191h
  ep1 shard 41/1720 loss=0.855274  best=-inf wall=0.196h
  ep1 shard 42/1720 loss=0.861043  best=-inf wall=0.201h
  ep1 shard 43/1720 loss=0.884999  best=-inf wall=0.205h
  ep1 shard 44/1720 loss=0.887513  best=-inf wall=0.21h
  ep1 shard 45/1720 loss=0.854556  best=-inf wall=0.215h
  ep1 shard 46/1720 loss=0.889214  best=-inf wall=0.22h
  ep1 shard 47/1720 loss=0.833586  best=-inf wall=0.223h
  ep1 shard 48/1720 loss=0.84785  best=-inf wall=0.228h
  ep1 shard 49/1720 loss=0.870241  best=-inf wall=0.233h
  ep1 shard 50/1720 loss=0.873484  best=-inf wall=0.235h
  ep1 shard 51/1720 loss=0.873118  best=-inf wall=0.24h
  ep1 shard 52/1720 loss=0.865143  best=-inf wall=0.243h
  ep1 shard 53/1720 loss=0.890736  best=-inf wall=0.248h
  ep1 shard 54/1720 loss=0.842923  best=-inf wall=0.253h
  ep1 shard 55/1720 loss=0.838662  best=-inf wall=0.258h
  ep1 shard 56/1720 loss=0.902408  best=-inf wall=0.264h
  ep1 shard 57/1720 loss=0.883044  best=-inf wall=0.269h
  ep1 shard 58/1720 loss=0.852324  best=-inf wall=0.274h
  ep1 shard 59/1720 loss=0.874085  best=-inf wall=0.279h
  ep1 shard 60/1720 loss=0.856257  best=-inf wall=0.284h
  ep1 shard 61/1720 loss=0.891383  best=-inf wall=0.289h
  ep1 shard 62/1720 loss=0.855414  best=-inf wall=0.294h
  ep1 shard 63/1720 loss=0.845388  best=-inf wall=0.299h
  ep1 shard 64/1720 loss=0.885362  best=-inf wall=0.304h
  ep1 shard 65/1720 loss=0.865321  best=-inf wall=0.307h
  ep1 shard 66/1720 loss=0.842636  best=-inf wall=0.311h
  ep1 shard 67/1720 loss=0.855916  best=-inf wall=0.316h
  ep1 shard 68/1720 loss=0.866225  best=-inf wall=0.321h
  ep1 shard 69/1720 loss=0.860881  best=-inf wall=0.327h
  ep1 shard 70/1720 loss=0.900422  best=-inf wall=0.332h
  ep1 shard 71/1720 loss=0.835392  best=-inf wall=0.337h
  ep1 shard 72/1720 loss=0.83568  best=-inf wall=0.342h
  ep1 shard 73/1720 loss=0.846117  best=-inf wall=0.348h
  ep1 shard 74/1720 loss=0.839599  best=-inf wall=0.353h
  ep1 shard 75/1720 loss=0.884246  best=-inf wall=0.357h
  ep1 shard 76/1720 loss=0.808692  best=-inf wall=0.362h
  ep1 shard 77/1720 loss=0.874825  best=-inf wall=0.367h
  ep1 shard 78/1720 loss=0.863058  best=-inf wall=0.373h
  ep1 shard 79/1720 loss=0.878166  best=-inf wall=0.376h
  ep1 shard 80/1720 loss=0.857116  best=-inf wall=0.381h
  ep1 shard 81/1720 loss=0.828565  best=-inf wall=0.386h
  ep1 shard 82/1720 loss=0.864949  best=-inf wall=0.391h
  ep1 shard 83/1720 loss=0.855655  best=-inf wall=0.396h
  ep1 shard 84/1720 loss=0.849213  best=-inf wall=0.399h
  ep1 shard 85/1720 loss=0.821314  best=-inf wall=0.405h
  ep1 shard 86/1720 loss=0.864745  best=-inf wall=0.41h
  saved epoch checkpoint -> experiments/exp028-mlp/ref20/checkpoints/ep1.pt
  ep2 shard 87/1720 loss=0.874845  best=-inf wall=0.413h
  ep2 shard 88/1720 loss=0.891703  best=-inf wall=0.418h
  ep2 shard 89/1720 loss=0.854824  best=-inf wall=0.423h
  ep2 shard 90/1720 loss=0.896863  best=-inf wall=0.424h
  ep2 shard 91/1720 loss=0.823604  best=-inf wall=0.43h
  ep2 shard 92/1720 loss=0.896556  best=-inf wall=0.435h
  ep2 shard 93/1720 loss=0.852402  best=-inf wall=0.436h
  ep2 shard 94/1720 loss=0.836189  best=-inf wall=0.439h
  ep2 shard 95/1720 loss=0.846298  best=-inf wall=0.445h
  ep2 shard 96/1720 loss=0.814401  best=-inf wall=0.45h
  ep2 shard 97/1720 loss=0.865928  best=-inf wall=0.455h
  ep2 shard 98/1720 loss=0.915437  best=-inf wall=0.46h
  ep2 shard 99/1720 loss=0.849459  best=-inf wall=0.465h
  ep2 shard 100/1720 loss=0.902274  best=-inf wall=0.468h
  ep2 shard 101/1720 loss=0.843788  best=-inf wall=0.473h
  ep2 shard 102/1720 loss=0.837599  best=-inf wall=0.478h
  ep2 shard 103/1720 loss=0.874353  best=-inf wall=0.484h
  ep2 shard 104/1720 loss=0.8562  best=-inf wall=0.489h
  ep2 shard 105/1720 loss=0.836976  best=-inf wall=0.494h
  ep2 shard 106/1720 loss=0.861117  best=-inf wall=0.499h
  ep2 shard 107/1720 loss=0.908031  best=-inf wall=0.504h
  ep2 shard 108/1720 loss=0.875797  best=-inf wall=0.507h
  ep2 shard 109/1720 loss=0.849065  best=-inf wall=0.512h
  ep2 shard 110/1720 loss=0.895018  best=-inf wall=0.517h
  ep2 shard 111/1720 loss=0.81774  best=-inf wall=0.522h
  ep2 shard 112/1720 loss=0.871149  best=-inf wall=0.527h
  ep2 shard 113/1720 loss=0.865079  best=-inf wall=0.532h
  ep2 shard 114/1720 loss=0.85686  best=-inf wall=0.537h
  ep2 shard 115/1720 loss=0.904798  best=-inf wall=0.543h
  ep2 shard 116/1720 loss=0.84887  best=-inf wall=0.548h
  ep2 shard 117/1720 loss=0.870205  best=-inf wall=0.553h
  ep2 shard 118/1720 loss=0.86941  best=-inf wall=0.557h
  ep2 shard 119/1720 loss=0.815876  best=-inf wall=0.561h
  ep2 shard 120/1720 loss=0.824757  best=-inf wall=0.567h
  ep2 shard 121/1720 loss=0.857728  best=-inf wall=0.571h
  ep2 shard 122/1720 loss=0.846141  best=-inf wall=0.576h
  ep2 shard 123/1720 loss=0.872901  best=-inf wall=0.581h
  ep2 shard 124/1720 loss=0.808082  best=-inf wall=0.583h
  ep2 shard 125/1720 loss=0.848153  best=-inf wall=0.586h
  ep2 shard 126/1720 loss=0.831575  best=-inf wall=0.591h
  ep2 shard 127/1720 loss=0.864267  best=-inf wall=0.595h
  ep2 shard 128/1720 loss=0.85241  best=-inf wall=0.6h
  ep2 shard 129/1720 loss=0.850582  best=-inf wall=0.605h
  ep2 shard 130/1720 loss=0.872733  best=-inf wall=0.61h
  ep2 shard 131/1720 loss=0.829252  best=-inf wall=0.615h
  ep2 shard 132/1720 loss=0.833498  best=-inf wall=0.62h
  ep2 shard 133/1720 loss=0.849489  best=-inf wall=0.625h
  ep2 shard 134/1720 loss=0.84666  best=-inf wall=0.63h
  ep2 shard 135/1720 loss=0.825878  best=-inf wall=0.635h
  ep2 shard 136/1720 loss=0.893964  best=-inf wall=0.64h
  ep2 shard 137/1720 loss=0.848027  best=-inf wall=0.643h
  ep2 shard 138/1720 loss=0.826866  best=-inf wall=0.648h
  ep2 shard 139/1720 loss=0.84723  best=-inf wall=0.653h
  ep2 shard 140/1720 loss=0.86402  best=-inf wall=0.658h
  ep2 shard 141/1720 loss=0.865065  best=-inf wall=0.663h
  ep2 shard 142/1720 loss=0.863708  best=-inf wall=0.668h
  ep2 shard 143/1720 loss=0.877805  best=-inf wall=0.671h
  ep2 shard 144/1720 loss=0.908657  best=-inf wall=0.676h
  ep2 shard 145/1720 loss=0.878861  best=-inf wall=0.682h
  ep2 shard 146/1720 loss=0.838643  best=-inf wall=0.684h
  ep2 shard 147/1720 loss=0.825837  best=-inf wall=0.689h
  ep2 shard 148/1720 loss=0.846396  best=-inf wall=0.695h
  ep2 shard 149/1720 loss=0.885412  best=-inf wall=0.699h
  ep2 shard 150/1720 loss=0.853335  best=-inf wall=0.704h
  ep2 shard 151/1720 loss=0.895338  best=-inf wall=0.709h
  ep2 shard 152/1720 loss=0.790747  best=-inf wall=0.714h
  ep2 shard 153/1720 loss=0.858736  best=-inf wall=0.717h
  ep2 shard 154/1720 loss=0.861545  best=-inf wall=0.723h
  ep2 shard 155/1720 loss=0.824435  best=-inf wall=0.726h
  ep2 shard 156/1720 loss=0.882788  best=-inf wall=0.73h
  ep2 shard 157/1720 loss=0.873473  best=-inf wall=0.735h
  ep2 shard 158/1720 loss=0.86545  best=-inf wall=0.74h
  ep2 shard 159/1720 loss=0.800409  best=-inf wall=0.745h
  ep2 shard 160/1720 loss=0.865275  best=-inf wall=0.75h
  ep2 shard 161/1720 loss=0.86767  best=-inf wall=0.755h
  ep2 shard 162/1720 loss=0.896117  best=-inf wall=0.759h
  ep2 shard 163/1720 loss=0.874897  best=-inf wall=0.762h
  ep2 shard 164/1720 loss=0.845405  best=-inf wall=0.767h
  ep2 shard 165/1720 loss=0.877487  best=-inf wall=0.772h
  ep2 shard 166/1720 loss=0.862523  best=-inf wall=0.777h
  ep2 shard 167/1720 loss=0.868773  best=-inf wall=0.782h
  ep2 shard 168/1720 loss=0.843763  best=-inf wall=0.787h
  ep2 shard 169/1720 loss=0.831338  best=-inf wall=0.792h
  ep2 shard 170/1720 loss=0.864031  best=-inf wall=0.797h
  ep2 shard 171/1720 loss=0.83204  best=-inf wall=0.802h
  ep2 shard 172/1720 loss=0.854535  best=-inf wall=0.807h
  saved epoch checkpoint -> experiments/exp028-mlp/ref20/checkpoints/ep2.pt
  ep3 shard 173/1720 loss=0.880026  best=-inf wall=0.811h
  ep3 shard 174/1720 loss=0.831925  best=-inf wall=0.816h
  ep3 shard 175/1720 loss=0.858293  best=-inf wall=0.821h
  ep3 shard 176/1720 loss=0.842926  best=-inf wall=0.827h
  ep3 shard 177/1720 loss=0.870059  best=-inf wall=0.832h
