[arch] mlp hidden [512, 512, 256, 256] in=201, 0.911M params (0.563M deployable)
exp011 scalar [cpu]: 86 shards x 20 epochs, lr=0.001 holdout_frac=0.0 split_seed=14
  ep1 shard 1/1720 loss=0.003556  best=-inf wall=0.001h
  ep1 shard 2/1720 loss=0.001504  best=-inf wall=0.006h
  ep1 shard 3/1720 loss=0.000817  best=-inf wall=0.011h
  ep1 shard 4/1720 loss=0.000567  best=-inf wall=0.013h
  ep1 shard 5/1720 loss=0.000788  best=-inf wall=0.016h
  ep1 shard 6/1720 loss=0.000588  best=-inf wall=0.018h
  ep1 shard 7/1720 loss=0.000404  best=-inf wall=0.023h
  ep1 shard 8/1720 loss=0.000485  best=-inf wall=0.028h
  ep1 shard 9/1720 loss=0.000392  best=-inf wall=0.033h
  ep1 shard 10/1720 loss=0.00033  best=-inf wall=0.038h
  ep1 shard 11/1720 loss=0.00039  best=-inf wall=0.041h
  ep1 shard 12/1720 loss=0.000298  best=-inf wall=0.046h
  ep1 shard 13/1720 loss=0.000461  best=-inf wall=0.051h
  ep1 shard 14/1720 loss=0.000326  best=-inf wall=0.056h
  ep1 shard 15/1720 loss=0.000254  best=-inf wall=0.061h
  ep1 shard 16/1720 loss=0.000322  best=-inf wall=0.066h
  ep1 shard 17/1720 loss=0.000297  best=-inf wall=0.071h
  ep1 shard 18/1720 loss=0.000362  best=-inf wall=0.076h
  ep1 shard 19/1720 loss=0.000321  best=-inf wall=0.08h
  ep1 shard 20/1720 loss=0.000234  best=-inf wall=0.085h
  ep1 shard 21/1720 loss=0.000184  best=-inf wall=0.09h
  ep1 shard 22/1720 loss=0.000202  best=-inf wall=0.096h
  ep1 shard 23/1720 loss=0.00017  best=-inf wall=0.101h
  ep1 shard 24/1720 loss=0.000199  best=-inf wall=0.106h
  ep1 shard 25/1720 loss=0.000217  best=-inf wall=0.111h
  ep1 shard 26/1720 loss=0.000176  best=-inf wall=0.116h
  ep1 shard 27/1720 loss=0.000312  best=-inf wall=0.12h
  ep1 shard 28/1720 loss=0.000204  best=-inf wall=0.123h
  ep1 shard 29/1720 loss=0.000225  best=-inf wall=0.128h
  ep1 shard 30/1720 loss=0.000161  best=-inf wall=0.132h
  ep1 shard 31/1720 loss=0.000151  best=-inf wall=0.137h
  ep1 shard 32/1720 loss=0.000229  best=-inf wall=0.142h
  ep1 shard 33/1720 loss=0.000178  best=-inf wall=0.144h
  ep1 shard 34/1720 loss=0.000128  best=-inf wall=0.148h
  ep1 shard 35/1720 loss=0.000156  best=-inf wall=0.153h
  ep1 shard 36/1720 loss=0.000197  best=-inf wall=0.157h
  ep1 shard 37/1720 loss=0.00015  best=-inf wall=0.161h
  ep1 shard 38/1720 loss=0.000136  best=-inf wall=0.166h
  ep1 shard 39/1720 loss=0.000175  best=-inf wall=0.171h
