[arch] mlp hidden [512, 512, 256, 256] in=201, 0.911M params (0.563M deployable)
exp011 scalar [cpu]: 86 shards x 100 epochs, lr=0.001 holdout_frac=0.0 split_seed=14
[resume] experiments/exp029-longrun/combined100/checkpoints/latest.pt absent — starting fresh
  ep1 shard 1/8600 loss=0.003637  best=-inf wall=0.002h
  ep1 shard 2/8600 loss=0.002522  best=-inf wall=0.007h
  ep1 shard 3/8600 loss=0.001109  best=-inf wall=0.012h
  ep1 shard 4/8600 loss=0.000644  best=-inf wall=0.015h
  ep1 shard 5/8600 loss=0.000709  best=-inf wall=0.018h
  ep1 shard 6/8600 loss=0.000564  best=-inf wall=0.02h
  ep1 shard 7/8600 loss=0.000529  best=-inf wall=0.026h
  ep1 shard 8/8600 loss=0.000408  best=-inf wall=0.032h
  ep1 shard 9/8600 loss=0.000406  best=-inf wall=0.037h
  ep1 shard 10/8600 loss=0.000616  best=-inf wall=0.042h
  ep1 shard 11/8600 loss=0.000316  best=-inf wall=0.045h
  ep1 shard 12/8600 loss=0.000376  best=-inf wall=0.05h
  ep1 shard 13/8600 loss=0.000825  best=-inf wall=0.055h
  ep1 shard 14/8600 loss=0.000308  best=-inf wall=0.06h
  ep1 shard 15/8600 loss=0.000345  best=-inf wall=0.065h
  ep1 shard 16/8600 loss=0.000319  best=-inf wall=0.071h
  ep1 shard 17/8600 loss=0.00038  best=-inf wall=0.076h
  ep1 shard 18/8600 loss=0.00018  best=-inf wall=0.081h
  ep1 shard 19/8600 loss=0.000263  best=-inf wall=0.086h
  ep1 shard 20/8600 loss=0.000257  best=-inf wall=0.091h
  ep1 shard 21/8600 loss=0.000301  best=-inf wall=0.097h
  ep1 shard 22/8600 loss=0.000201  best=-inf wall=0.102h
  ep1 shard 23/8600 loss=0.000182  best=-inf wall=0.107h
  ep1 shard 24/8600 loss=0.000186  best=-inf wall=0.112h
  ep1 shard 25/8600 loss=0.000216  best=-inf wall=0.117h
  ep1 shard 26/8600 loss=0.00019  best=-inf wall=0.122h
  ep1 shard 27/8600 loss=0.00027  best=-inf wall=0.128h
  ep1 shard 28/8600 loss=0.000196  best=-inf wall=0.13h
  ep1 shard 29/8600 loss=0.000211  best=-inf wall=0.136h
  ep1 shard 30/8600 loss=0.000301  best=-inf wall=0.141h
