[arch] mlp hidden [1024, 1024, 512, 512] in=201, 2.738M params (2.044M deployable)
exp011 scalar [cpu]: 86 shards x 20 epochs, lr=0.001 holdout_frac=0.0 split_seed=14
[resume] experiments/exp030-capacity/width2x/checkpoints/latest.pt absent — starting fresh
  ep1 shard 1/1720 loss=0.002781  best=-inf wall=0.004h
  ep1 shard 2/1720 loss=0.000936  best=-inf wall=0.018h
  ep1 shard 3/1720 loss=0.001248  best=-inf wall=0.031h
  ep1 shard 4/1720 loss=0.000587  best=-inf wall=0.038h
  ep1 shard 5/1720 loss=0.000571  best=-inf wall=0.045h
  ep1 shard 6/1720 loss=0.000518  best=-inf wall=0.048h
  ep1 shard 7/1720 loss=0.000434  best=-inf wall=0.06h
  ep1 shard 8/1720 loss=0.000333  best=-inf wall=0.071h
  ep1 shard 9/1720 loss=0.000527  best=-inf wall=0.082h
  ep1 shard 10/1720 loss=0.000384  best=-inf wall=0.093h
  ep1 shard 11/1720 loss=0.000312  best=-inf wall=0.1h
  ep1 shard 12/1720 loss=0.000299  best=-inf wall=0.111h
  ep1 shard 13/1720 loss=0.000322  best=-inf wall=0.122h
  ep1 shard 14/1720 loss=0.000384  best=-inf wall=0.133h
  ep1 shard 15/1720 loss=0.000409  best=-inf wall=0.146h
  ep1 shard 16/1720 loss=0.00042  best=-inf wall=0.157h
  ep1 shard 17/1720 loss=0.000284  best=-inf wall=0.168h
  ep1 shard 18/1720 loss=0.000356  best=-inf wall=0.179h
  ep1 shard 19/1720 loss=0.000221  best=-inf wall=0.19h
  ep1 shard 20/1720 loss=0.000321  best=-inf wall=0.202h
  ep1 shard 21/1720 loss=0.000237  best=-inf wall=0.213h
  ep1 shard 22/1720 loss=0.000191  best=-inf wall=0.224h
  ep1 shard 23/1720 loss=0.00026  best=-inf wall=0.235h
  ep1 shard 24/1720 loss=0.000268  best=-inf wall=0.246h
  ep1 shard 25/1720 loss=0.000143  best=-inf wall=0.258h
  ep1 shard 26/1720 loss=0.00017  best=-inf wall=0.269h
  ep1 shard 27/1720 loss=0.000162  best=-inf wall=0.28h
  ep1 shard 28/1720 loss=0.000224  best=-inf wall=0.287h
  ep1 shard 29/1720 loss=0.000223  best=-inf wall=0.299h
  ep1 shard 30/1720 loss=0.000173  best=-inf wall=0.31h
  ep1 shard 31/1720 loss=0.000187  best=-inf wall=0.321h
  ep1 shard 32/1720 loss=0.000218  best=-inf wall=0.332h
  ep1 shard 33/1720 loss=0.000201  best=-inf wall=0.339h
  ep1 shard 34/1720 loss=0.000163  best=-inf wall=0.351h
  ep1 shard 35/1720 loss=0.000163  best=-inf wall=0.362h
  ep1 shard 36/1720 loss=0.000174  best=-inf wall=0.373h
  ep1 shard 37/1720 loss=0.000188  best=-inf wall=0.385h
  ep1 shard 38/1720 loss=0.000133  best=-inf wall=0.396h
  ep1 shard 39/1720 loss=0.000183  best=-inf wall=0.407h
